,step,AS_PF,agent_attributes,coalitions_attributes,electorate_attributes
0,0,"[None, None]","[[0, 'policymaker', 0, None, None, None, [[0, 0, 0], [0, 0.7926887266396934, 0.467], [0, 0.10045076803002055, 0.059], [0, 0.80394485031712, 0.474], [0, 0.8740669259275669, 0.408], [0, 0.25477803160761897, 0.13], [0, 0.6907280790035645, 0.461], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [1, 'policymaker', 0, None, None, None, [[0, 0, 0], [0, 0.8082659622238615, 0.473], [0, 0.09527683859366444, 0.056], [0, 0.8066936886798176, 0.472], [0, 0.8772849212589526, 0.41], [0, 0.24809696126361894, 0.127], [0, 0.7032529655914866, 0.463], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [2, 'policyentrepreneur', 0, None, None, None, [[0, 0, 0], [0, 0.798438866007447, 0.467], [0, 0.10537271213135285, 0.062], [0, 0.8062639306345969, 0.471], [0, 0.8801213712674589, 0.409], [0, 0.2439416691429539, 0.128], [0, 0.7039820191584526, 0.463], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [3, 'policyentrepreneur', 0, None, None, None, [[0, 0, 0], [0, 0.7910349731340023, 0.467], [0, 0.09366536088154157, 0.055], [0, 0.8093567094682063, 0.478], [0, 0.8813132610651081, 0.409], [0, 0.2536126769597817, 0.129], [0, 0.6907679953544134, 0.462], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [4, 'policyentrepreneur', 0, None, None, None, [[0, 0, 0], [0, 0.7949555660607528, 0.471], [0, 0.09298840962411584, 0.055], [0, 0.7995983682706299, 0.474], [0, 0.8798311079332096, 0.409], [0, 0.25579138109987154, 0.129], [0, 0.7016603567827635, 0.462], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [5, 'policyentrepreneur', 0, None, None, None, [[0, 0, 0], [0, 0.8081670574075815, 0.473], [0, 0.09073055742443915, 0.053], [0, 0.8087614702442584, 0.474], [0, 0.8779548333531293, 0.409], [0, 0.2585759081590325, 0.129], [0, 0.6996444619464989, 0.462], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [6, 'policymaker', 1, None, None, None, [[0, 0, 0], [0, 0.40130972449028596, 0.282], [0, 0.34469461337017343, 0.243], [0, 0.6749170503671308, 0.475], [0, 0.7505935766536612, 0.328], [0, 0.6282398223184573, 0.265], [0, 0.6180383034413512, 0.407], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [7, 'policyentrepreneur', 1, None, None, None, [[0, 0, 0], [0, 0.4035428208610869, 0.283], [0, 0.34430771118734965, 0.241], [0, 0.6783895405760528, 0.476], [0, 0.7455541354085388, 0.327], [0, 0.6259277681021173, 0.265], [0, 0.6234162116207177, 0.409], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [8, 'policyentrepreneur', 1, None, None, None, [[0, 0, 0], [0, 0.39119616978531824, 0.272], [0, 0.3579199416798152, 0.249], [0, 0.6885875220588007, 0.479], [0, 0.7588828061096939, 0.327], [0, 0.6287841971295384, 0.267], [0, 0.6131365226385309, 0.407], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [9, 'policyentrepreneur', 1, None, None, None, [[0, 0, 0], [0, 0.3930829400005128, 0.274], [0, 0.35379415713596585, 0.247], [0, 0.6860276522506269, 0.479], [0, 0.7563196759669847, 0.327], [0, 0.6289455103365521, 0.267], [0, 0.613670669397899, 0.407], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [10, 'policyentrepreneur', 1, None, None, None, [[0, 0, 0], [0, 0.40068503895698543, 0.281], [0, 0.340996097753853, 0.239], [0, 0.6864516933803599, 0.481], [0, 0.7427178883893855, 0.325], [0, 0.6370609180172779, 0.267], [0, 0.618334588804087, 0.409], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]]]",[],"[[0, 25, [0.0, 0.6, 0.6, 0.8, 1.0, 0.75, 0.7]], [1, 75, [0.0, 0.6, 0.6, 0.8, 1.0, 0.75, 0.7]]]"
1,1,"[0, 4]","[[0, 'policymaker', 0, 0, 2, 4, [[0, 0.0, 0], [0.35, 0.7926887266396934, 0.521], [0.048, 0.10487773538471412, 0.062], [0.449, 0.80394485031712, 0.418], [0.875, 0.8740669259275669, 0.288], [0.37, 0.25477803160761897, 0.153], [0.367, 0.6907280790035645, 0.56], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [1, 'policymaker', 0, 0, 2, 4, [[0, 0.0, 0], [0.35, 0.8082659622238615, 0.531], [0.048, 0.10498564562295162, 0.055], [0.449, 0.8066936886798176, 0.414], [0.875, 0.8772849212589526, 0.29], [0.37, 0.24809696126361894, 0.151], [0.367, 0.6931185004788623, 0.56], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [2, 'policyentrepreneur', 0, 0, 2, 4, [[0, 0, 0], [0.35, 0.798438866007447, 0.52], [0.048, 0.10537271213135285, 0.066], [0.449, 0.8062639306345969, 0.414], [0.875, 0.8801213712674589, 0.287], [0.37, 0.2439416691429539, 0.158], [0.367, 0.6997517046253668, 0.556], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [3, 'policyentrepreneur', 0, 0, 2, 4, [[0, 0, 0], [0.35, 0.7910349731340023, 0.521], [0.048, 0.10493794524285348, 0.054], [0.449, 0.8093567094682063, 0.425], [0.875, 0.8813132610651081, 0.288], [0.37, 0.2536126769597817, 0.151], [0.367, 0.6907679953544134, 0.561], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [4, 'policyentrepreneur', 0, 0, 2, 4, [[0, 0, 0], [0.35, 0.7949555660607528, 0.529], [0.048, 0.10483010739171177, 0.054], [0.449, 0.7995983682706299, 0.417], [0.875, 0.8798311079332096, 0.289], [0.37, 0.25579138109987154, 0.148], [0.367, 0.6997841687047793, 0.563], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [5, 'policyentrepreneur', 0, 0, 2, 4, [[0, 0, 0], [0.35, 0.8081670574075815, 0.532], [0.048, 0.10490230428946985, 0.05], [0.449, 0.8087614702442584, 0.418], [0.875, 0.8779548333531293, 0.292], [0.37, 0.2585759081590325, 0.144], [0.367, 0.6996444619464989, 0.564], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [6, 'policymaker', 1, 1, 2, 3, [[0, 0.0, 0], [0.35, 0.453434358208859, 0.089], [0.048, 0.34469461337017343, 0.517], [0.449, 0.6749170503671308, 0.394], [0.875, 0.7505935766536612, 0.23], [0.37, 0.6282398223184573, 0.352], [0.367, 0.6330459613492893, 0.418], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [7, 'policyentrepreneur', 1, 1, 2, 1, [[0, 0, 0], [0.35, 0.45391832316253944, 0.092], [0.048, 0.34430771118734965, 0.512], [0.449, 0.6783895405760528, 0.396], [0.875, 0.7455541354085388, 0.232], [0.37, 0.6259277681021173, 0.348], [0.367, 0.6272509535491756, 0.42], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [8, 'policyentrepreneur', 1, 1, 2, 1, [[0, 0, 0], [0.35, 0.45352177904262087, 0.07], [0.048, 0.3579199416798152, 0.525], [0.449, 0.6885875220588007, 0.406], [0.875, 0.7588828061096939, 0.222], [0.37, 0.6287841971295384, 0.358], [0.367, 0.6271317662735393, 0.42], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [9, 'policyentrepreneur', 1, 1, 2, 1, [[0, 0, 0], [0.35, 0.4536636862366631, 0.074], [0.048, 0.35379415713596585, 0.522], [0.449, 0.6860276522506269, 0.405], [0.875, 0.7563196759669847, 0.224], [0.37, 0.6289455103365521, 0.357], [0.367, 0.6272776964978999, 0.42], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [10, 'policyentrepreneur', 1, 1, 2, 1, [[0, 0, 0], [0.35, 0.4528916879613676, 0.087], [0.048, 0.340996097753853, 0.504], [0.449, 0.6864516933803599, 0.409], [0.875, 0.7427178883893855, 0.229], [0.37, 0.6370609180172779, 0.353], [0.367, 0.6272398771227168, 0.418], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]]]","[[1001, 0, 2, 4, [[0.0, 0.0, 0], [0.35000000000000003, 0.7989251919122231, 0.526], [0.047999999999999994, 0.09641410778085574, 0.057], [0.449, 0.8057698362691048, 0.418], [0.875, 0.8784287368009043, 0.289], [0.37000000000000005, 0.2524661047054796, 0.151], [0.367, 0.6983393129728633, 0.561], [0.0], [0.0], [0.0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]], 0.24750000000000003, [3, 2, 4, 5, 0, 1]], [1002, 1, 2, 1, [[0.0, 0.0, 0], [0.35, 0.39796333881883783, 0.082], [0.048, 0.34834250422543145, 0.516], [0.449, 0.6828746917265943, 0.402], [0.875, 0.7508136165056528, 0.227], [0.37, 0.6297916431807886, 0.354], [0.367, 0.6173192591805171, 0.419], [0.0], [0.0], [0.0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]], 0.06875, [7, 9, 8, 6, 10]]]","[[0, 25, [0.0, 0.6, 0.6, 0.8, 1.0, 0.75, 0.7]], [1, 75, [0.0, 0.6, 0.6, 0.8, 1.0, 0.75, 0.7]]]"
2,2,"[0, 3]","[[0, 'policymaker', 0, 0, 0, 3, [[0, 0.0, 0], [0.332, 0.7926887266396934, 0.575], [0.1, 0.11311375597502364, 0.006], [0.468, 0.80394485031712, 0.419], [0.455, 0.8676056816431573, 0.429], [0.63, 0.25477803160761897, 0.225], [0.549, 0.6907280790035645, 0.346], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [1, 'policymaker', 0, 0, 0, 3, [[0, 0.0, 0], [0.332, 0.8082659622238615, 0.581], [0.1, 0.11339475370675357, 0.006], [0.468, 0.8066936886798176, 0.413], [0.455, 0.8675437784727126, 0.43], [0.63, 0.24809696126361894, 0.225], [0.549, 0.6931185004788623, 0.345], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [2, 'policyentrepreneur', 0, 0, 0, 3, [[0, 0, 0], [0.332, 0.798438866007447, 0.576], [0.1, 0.11309704284256215, 0.007], [0.468, 0.8062639306345969, 0.418], [0.455, 0.8778018206244953, 0.427], [0.63, 0.2439416691429539, 0.227], [0.549, 0.6997517046253668, 0.346], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [3, 'policyentrepreneur', 0, 0, 0, 3, [[0, 0, 0], [0.332, 0.7910349731340023, 0.57], [0.1, 0.11334869844261056, 0.006], [0.468, 0.8093567094682063, 0.424], [0.455, 0.8778091544728901, 0.429], [0.63, 0.2536126769597817, 0.225], [0.549, 0.6907679953544134, 0.346], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [4, 'policyentrepreneur', 0, 0, 0, 3, [[0, 0, 0], [0.332, 0.7949555660607528, 0.579], [0.1, 0.11320887244208087, 0.006], [0.468, 0.7995983682706299, 0.415], [0.455, 0.8778265161152012, 0.43], [0.63, 0.25579138109987154, 0.223], [0.549, 0.6997841687047793, 0.346], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [5, 'policyentrepreneur', 0, 0, 0, 3, [[0, 0, 0], [0.332, 0.8081670574075815, 0.579], [0.1, 0.11313749377537854, 0.006], [0.468, 0.8087614702442584, 0.415], [0.455, 0.8778009812863378, 0.43], [0.63, 0.2585759081590325, 0.22], [0.549, 0.6996444619464989, 0.35], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [6, 'policymaker', 1, 1, 0, 6, [[0, 0.0, 0], [0.332, 0.5012644316105203, 0.212], [0.1, 0.34469461337017343, 0.427], [0.468, 0.6749170503671308, 0.361], [0.455, 0.7766187075151577, 0.419], [0.63, 0.6282398223184573, 0.208], [0.549, 0.6330459613492893, 0.373], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [7, 'policyentrepreneur', 1, 1, 0, 6, [[0, 0, 0], [0.332, 0.5016813952038518, 0.211], [0.1, 0.34430771118734965, 0.424], [0.468, 0.6783895405760528, 0.365], [0.455, 0.7660624211411446, 0.417], [0.63, 0.6259277681021173, 0.211], [0.549, 0.6272509535491756, 0.373], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [8, 'policyentrepreneur', 1, 1, 0, 6, [[0, 0, 0], [0.332, 0.5013397496778724, 0.203], [0.1, 0.3579199416798152, 0.43], [0.468, 0.6885875220588007, 0.368], [0.455, 0.7663960816958286, 0.416], [0.63, 0.6287841971295384, 0.211], [0.549, 0.6271317662735393, 0.372], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [9, 'policyentrepreneur', 1, 1, 0, 6, [[0, 0, 0], [0.332, 0.5014620108728154, 0.205], [0.1, 0.35379415713596585, 0.428], [0.468, 0.6860276522506269, 0.367], [0.455, 0.7662991479477976, 0.417], [0.63, 0.6289455103365521, 0.21], [0.549, 0.6272776964978999, 0.372], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [10, 'policyentrepreneur', 1, 1, 0, 6, [[0, 0, 0], [0.332, 0.500796890036141, 0.208], [0.1, 0.340996097753853, 0.415], [0.468, 0.6864516933803599, 0.376], [0.455, 0.7665203256574725, 0.412], [0.63, 0.6370609180172779, 0.212], [0.549, 0.6272398771227168, 0.376], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]]]","[[1001, 0, 0, 3, [[0.0, 0.0, 0], [0.332, 0.7989251919122231, 0.577], [0.09999999999999999, 0.1049844083438423, 0.006], [0.468, 0.8057698362691048, 0.417], [0.455, 0.8784287368009043, 0.429], [0.63, 0.2524661047054796, 0.224], [0.549, 0.6956324850189142, 0.346], [0.0], [0.0], [0.0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]], 0.24750000000000003, [3, 0, 2, 4, 5, 1]], [1002, 1, 0, 6, [[0.0, 0.0, 0], [0.332, 0.45348596692240994, 0.208], [0.1, 0.34834250422543145, 0.425], [0.4680000000000001, 0.6828746917265943, 0.367], [0.45499999999999996, 0.7508136165056528, 0.417], [0.63, 0.6297916431807886, 0.209], [0.549, 0.6283892509585242, 0.374], [0.0], [0.0], [0.0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]], 0.06875, [8, 7, 9, 6, 10]]]","[[0, 25, [0.0, 0.6, 0.6, 0.8, 1.0, 0.75, 0.7]], [1, 75, [0.0, 0.6, 0.6, 0.8, 1.0, 0.75, 0.7]]]"
3,3,"[0, 0]","[[0, 'policymaker', 0, 0, 0, 0, [[0, 0.0, 0], [0.226, 0.7893229630357964, 0.719], [0.108, 0.11311375597502364, 0.006], [0.588, 0.80394485031712, 0.274], [0.235, 0.8650564433392942, 0.563], [0.52, 0.25477803160761897, 0.152], [0.799, 0.6907280790035645, 0.286], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [1, 'policymaker', 0, 0, 0, 0, [[0, 0.0, 0], [0.226, 0.7892648339724126, 0.722], [0.108, 0.11339475370675357, 0.007], [0.588, 0.8066936886798176, 0.271], [0.235, 0.8649961800772511, 0.562], [0.52, 0.24809696126361894, 0.153], [0.799, 0.6931185004788623, 0.286], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [2, 'policyentrepreneur', 0, 0, 0, 0, [[0, 0, 0], [0.226, 0.7893261826789356, 0.719], [0.108, 0.11309704284256215, 0.006], [0.588, 0.8062639306345969, 0.274], [0.235, 0.8739624225152981, 0.564], [0.52, 0.2439416691429539, 0.155], [0.799, 0.6997517046253668, 0.281], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [3, 'policyentrepreneur', 0, 0, 0, 0, [[0, 0, 0], [0.226, 0.7893569008070191, 0.714], [0.108, 0.11334869844261056, 0.007], [0.588, 0.8093567094682063, 0.28], [0.235, 0.8739310076411365, 0.562], [0.52, 0.2536126769597817, 0.152], [0.799, 0.6907679953544134, 0.286], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [4, 'policyentrepreneur', 0, 0, 0, 0, [[0, 0, 0], [0.226, 0.7895713545713015, 0.724], [0.108, 0.11320887244208087, 0.007], [0.588, 0.7995983682706299, 0.269], [0.235, 0.8739477130024103, 0.569], [0.52, 0.25579138109987154, 0.151], [0.799, 0.6997841687047793, 0.28], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [5, 'policyentrepreneur', 0, 0, 0, 0, [[0, 0, 0], [0.226, 0.7894820973011116, 0.72], [0.108, 0.11313749377537854, 0.006], [0.588, 0.8087614702442584, 0.273], [0.235, 0.8739616143517211, 0.567], [0.52, 0.2585759081590325, 0.149], [0.799, 0.6996444619464989, 0.284], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [6, 'policymaker', 1, 0, 0, 1, [[0, 0.0, 0], [0.226, 0.5422206797584394, 0.46], [0.108, 0.34469461337017343, 0.395], [0.588, 0.6749170503671308, 0.145], [0.235, 0.7890002064058754, 0.515], [0.52, 0.6282398223184573, 0.19], [0.799, 0.6330459613492893, 0.294], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [7, 'policyentrepreneur', 1, 0, 0, 1, [[0, 0, 0], [0.226, 0.542579917833101, 0.458], [0.108, 0.34430771118734965, 0.392], [0.588, 0.6783895405760528, 0.15], [0.235, 0.7812595867592939, 0.511], [0.52, 0.6259277681021173, 0.189], [0.799, 0.6272509535491756, 0.3], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [8, 'policyentrepreneur', 1, 0, 0, 1, [[0, 0, 0], [0.226, 0.5422855705976768, 0.44], [0.108, 0.3579199416798152, 0.399], [0.588, 0.6885875220588007, 0.161], [0.235, 0.7814985136563241, 0.503], [0.52, 0.6287841971295384, 0.194], [0.799, 0.6271317662735393, 0.302], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [9, 'policyentrepreneur', 1, 0, 0, 1, [[0, 0, 0], [0.226, 0.5423909056364656, 0.445], [0.108, 0.35379415713596585, 0.397], [0.588, 0.6860276522506269, 0.158], [0.235, 0.7813901485332616, 0.505], [0.52, 0.6289455103365521, 0.193], [0.799, 0.6272776964978999, 0.302], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]], [10, 'policyentrepreneur', 1, 0, 0, 1, [[0, 0, 0], [0.226, 0.5418178658492859, 0.453], [0.108, 0.340996097753853, 0.384], [0.588, 0.6864516933803599, 0.162], [0.235, 0.7812594528229443, 0.506], [0.52, 0.6370609180172779, 0.193], [0.799, 0.6272398771227168, 0.3], [0], [0], [0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]]]]","[[1001, 0, 0, 0, [[0.0, 0.0, 0], [0.226, 0.7989251919122231, 0.72], [0.108, 0.1132167695307349, 0.007], [0.588, 0.8057698362691048, 0.274], [0.23499999999999996, 0.8743979887691324, 0.564], [0.52, 0.2524661047054796, 0.152], [0.799, 0.6956324850189142, 0.284], [0.0], [0.0], [0.0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]], 0.24750000000000003, [1, 3, 2, 5, 0, 4]], [1002, 0, 0, 1, [[0.0, 0.0, 0], [0.22600000000000003, 0.5013088954802402, 0.451], [0.10800000000000001, 0.34834250422543145, 0.394], [0.588, 0.6828746917265943, 0.155], [0.23499999999999996, 0.7683793367914802, 0.508], [0.52, 0.6297916431807886, 0.192], [0.799, 0.6283892509585242, 0.3], [0.0], [0.0], [0.0], [1.0], [-0.75], [0.5], [0.75], [1.0], [0.75], [-0.75], [0.25], [1.0]], 0.06875, [10, 8, 6, 9, 7]]]","[[0, 25, [0.0, 0.6, 0.6, 0.8, 1.0, 0.75, 0.7]], [1, 75, [0.0, 0.6, 0.6, 0.8, 1.0, 0.75, 0.7]]]"
